Frequency (Hz),Z_real (Ohm),Z_imag (Ohm)
1.00,0.39,-0.49
1.05,0.37,-0.48
1.10,0.34,-0.48
1.15,0.32,-0.47
1.21,0.30,-0.46
1.26,0.28,-0.45
1.33,0.26,-0.44
1.39,0.25,-0.43
1.46,0.23,-0.42
1.53,0.21,-0.41
1.60,0.20,-0.40
1.68,0.18,-0.39
1.76,0.17,-0.38
1.84,0.16,-0.36
1.93,0.15,-0.35
2.02,0.13,-0.34
2.12,0.12,-0.33
2.22,0.11,-0.32
2.33,0.10,-0.31
2.44,0.10,-0.29
2.56,0.09,-0.28
2.68,0.08,-0.27
2.81,0.07,-0.26
2.95,0.07,-0.25
3.09,0.06,-0.24
3.24,0.06,-0.23
3.39,0.05,-0.22
3.56,0.05,-0.21
3.73,0.04,-0.20
3.91,0.04,-0.20
4.09,0.04,-0.19
4.29,0.03,-0.18
4.50,0.03,-0.17
4.71,0.03,-0.16
4.94,0.03,-0.16
5.18,0.02,-0.15
5.43,0.02,-0.14
5.69,0.02,-0.14
5.96,0.02,-0.13
6.25,0.02,-0.13
6.55,0.01,-0.12
6.87,0.01,-0.11
7.20,0.01,-0.11
7.54,0.01,-0.10
7.91,0.01,-0.10
8.29,0.01,-0.10
8.69,0.01,-0.09
9.10,0.01,-0.09
9.54,0.01,-0.08
10.00,0.01,-0.08
