czestotliwosc,impedancja_rzeczywista,impedancja_urojona
1.0,1000.0,-159154.94309189534
1.3894954943731377,1000.0,-114541.53233055075
1.93069772888325,1000.0,-82433.89978189564
2.6826957952797255,1000.0,-59326.496642643084
3.72759372031494,1000.0,-42696.42966306118
5.17947467923121,1000.0,-30728.00871680654
7.196856730011519,1000.0,-22114.507633340174
10.0,1000.0,-15915.494309189537
13.894954943731374,1000.0,-11454.153233055078
19.306977288832496,1000.0,-8243.389978189565
26.826957952797247,1000.0,-5932.64966426431
37.2759372031494,1000.0,-4269.642966306117
51.7947467923121,1000.0,-3072.8008716806535
71.96856730011518,1000.0,-2211.450763334018
100.0,1000.0,-1591.5494309189535
138.94954943731375,1000.0,-1145.4153233055079
193.06977288832496,1000.0,-824.3389978189565
268.26957952797244,1000.0,-593.2649664264311
372.7593720314938,1000.0,-426.9642966306119
517.9474679231207,1000.0,-307.2800871680655
719.6856730011514,1000.0,-221.1450763334019
1000.0,1000.0,-159.15494309189535
1389.4954943731375,1000.0,-114.54153233055077
1930.6977288832495,1000.0,-82.43389978189566
2682.6957952797247,1000.0,-59.32649664264309
3727.593720314938,1000.0,-42.696429663061195
5179.474679231207,1000.0,-30.728008716806553
7196.856730011514,1000.0,-22.114507633340192
10000.0,1000.0,-15.915494309189533
13894.95494373136,1000.0,-11.454153233055088
19306.977288832495,1000.0,-8.243389978189565
26826.95795279722,1000.0,-5.932649664264317
37275.93720314938,1000.0,-4.26964296630612
51794.74679231213,1000.0,-3.072800871680652
71968.56730011514,1000.0,-2.2114507633340192
100000.0,1000.0,-1.5915494309189537
138949.5494373136,1000.0,-1.1454153233055089
193069.77288832495,1000.0,-0.8243389978189566
268269.5795279722,1000.0,-0.5932649664264316
372759.3720314938,1000.0,-0.4269642966306119
517947.4679231202,1000.0,-0.3072800871680658
719685.6730011514,1000.0,-0.2211450763334019
1000000.0,1000.0,-0.15915494309189537
1389495.494373136,1000.0,-0.11454153233055091
1930697.7288832497,1000.0,-0.08243389978189565
2682695.7952797217,1000.0,-0.05932649664264316
3727593.720314938,1000.0,-0.04269642966306119
5179474.679231202,1000.0,-0.030728008716806584
7196856.730011513,1000.0,-0.022114507633340195
10000000.0,1000.0,-0.015915494309189534
